,Scope,Level,Level.1,Level.2,Level.3,Column Text,Unit,GHG,GHG Emission factor
81,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Heavy Fuel Oil ,litre,CO2,3.009479771
82,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Heavy Fuel Oil ,litre,CH4,0.002913957
83,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Heavy Fuel Oil ,litre,N2O,0.006946873
84,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Light Fuel Oil ,litre,CO2e,2.924899337
85,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Light Fuel Oil ,litre,CO2,2.915178024
86,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Light Fuel Oil ,litre,CH4,0.002872728
87,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Light Fuel Oil ,litre,N2O,0.006848585
88,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,kWh,CO2e,0.194421841
89,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,kWh,CO2,0.194244289
90,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,kWh,CH4,8.1e-05
91,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,kWh,N2O,9.6552e-05
92,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,GJ,CO2e,54.00606685
93,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,GJ,CO2,53.95674685
94,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,GJ,CH4,0.0225
95,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Natural Gas,GJ,N2O,0.02682
96,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,GJ,CO2e,3.42
97,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,GJ,CO2,64.2
98,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,GJ,CH4,2.85
99,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,GJ,N2O,0.57
100,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,litre,CO2e,8.0712e-05
101,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,litre,CO2,1.51512
102,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,litre,CH4,6.726e-05
103,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Bioethanol,litre,N2O,1.3452e-05
104,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,GJ,CO2e,3.42
105,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,GJ,CO2,67.26
106,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,GJ,CH4,2.85
107,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,GJ,N2O,0.57
108,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,litre,CO2e,0.00012456
109,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,litre,CO2,2.44968
110,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,litre,CH4,0.0001038
111,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Biodiesel,litre,N2O,2.076e-05
112,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Residential,kg,CO2e,0.8765251680321
113,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Residential,kg,CO2,0.8615640000321
114,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Residential,kg,CH4,0.005778
115,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Residential,kg,N2O,0.009183168
116,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Industrial,kg,CO2e,0.8765251680321
117,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Industrial,kg,CO2,0.8615640000321
118,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Industrial,kg,CH4,0.005778
119,1,Fuel,Biofuel and biomass emission factors,Biofuel ,,Wood - Industrial,kg,N2O,0.009183168
120,1,Fuel,Transport fuel emission factors,Regular Petrol,,Regular Petrol,litre,CO2e,2.45577510514538
121,1,Fuel,Transport fuel emission factors,Regular Petrol,,Regular Petrol,litre,CO2,2.34855140275339
122,1,Fuel,Transport fuel emission factors,Regular Petrol,,Regular Petrol,litre,CH4,0.027566081
123,1,Fuel,Transport fuel emission factors,Regular Petrol,,Regular Petrol,litre,N2O,0.079657621
124,1,Fuel,Transport fuel emission factors,Premium Petrol,,Premium Petrol,litre,CO2e,2.476743666126
125,1,Fuel,Transport fuel emission factors,Premium Petrol,,Premium Petrol,litre,CO2,2.36887685831897
126,1,Fuel,Transport fuel emission factors,Premium Petrol,,Premium Petrol,litre,CH4,0.027731417
127,1,Fuel,Transport fuel emission factors,Premium Petrol,,Premium Petrol,litre,N2O,0.080135391
128,1,Fuel,Transport fuel emission factors,Petrol - Default*,,Petrol - Default*,litre,CO2e,2.45193171
129,1,Fuel,Transport fuel emission factors,Petrol - Default*,,Petrol - Default*,litre,CO2,2.344562703
130,1,Fuel,Transport fuel emission factors,Petrol - Default*,,Petrol - Default*,litre,CH4,0.027603437
131,1,Fuel,Transport fuel emission factors,Petrol - Default*,,Petrol - Default*,litre,N2O,0.079765569
132,1,Fuel,Transport fuel emission factors,Diesel,,Diesel,litre,CO2e,2.693882672
133,1,Fuel,Transport fuel emission factors,Diesel,,Diesel,litre,CO2,2.648156419
134,1,Fuel,Transport fuel emission factors,Diesel,,Diesel,litre,CH4,0.003539184
135,1,Fuel,Transport fuel emission factors,Diesel,,Diesel,litre,N2O,0.042187069
136,1,Fuel,Transport fuel emission factors,LPG,,LPG,litre,CO2e,1.644306578
137,1,Fuel,Transport fuel emission factors,LPG,,LPG,litre,CO2,1.603723733
138,1,Fuel,Transport fuel emission factors,LPG,,LPG,litre,CH4,0.03908015
139,1,Fuel,Transport fuel emission factors,LPG,,LPG,litre,N2O,0.001502695
140,1,Fuel,Transport fuel emission factors,Heavy Fuel Oil,,Heavy Fuel Oil,litre,CO2e,3.039435247
141,1,Fuel,Transport fuel emission factors,Heavy Fuel Oil,,Heavy Fuel Oil,litre,CO2,3.009479771
142,1,Fuel,Transport fuel emission factors,Heavy Fuel Oil,,Heavy Fuel Oil,litre,CH4,0.006799233
143,1,Fuel,Transport fuel emission factors,Heavy Fuel Oil,,Heavy Fuel Oil,litre,N2O,0.023156243
144,1,Fuel,Transport fuel emission factors,Light Fuel Oil,,Light Fuel Oil,litre,CO2e,2.944709672
145,1,Fuel,Transport fuel emission factors,Light Fuel Oil,,Light Fuel Oil,litre,CO2,2.915178024
146,1,Fuel,Transport fuel emission factors,Light Fuel Oil,,Light Fuel Oil,litre,CH4,0.006703033
147,1,Fuel,Transport fuel emission factors,Light Fuel Oil,,Light Fuel Oil,litre,N2O,0.022828616
148,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),GJ,CO2e,70.6
149,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),GJ,CO2,68.22
150,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),GJ,CH4,0.48
151,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),GJ,N2O,1.9
152,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),litre,CO2e,2.62632
